,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
67,28,-0.5737253327005862,5,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.8584716503493592
68,29,-0.5737253327005862,6,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.8584716503493592
69,30,-0.08544845380647022,6,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.28474631764877295,0.37019477145524315
70,31,-1.0620022115947023,6,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,1.3467485292434753
71,32,-0.08544845380647022,6,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.37019477145524315
72,33,-0.08544845380647022,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.28474631764877295,0.37019477145524315
73,34,1.3793821828758779,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_01,control,between,0.28474631764877295,-1.0946358652271049
74,35,-0.5737253327005862,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.28474631764877295,0.8584716503493592
75,36,-0.08544845380647022,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.5118712510015353,-3.426422797195065
76,37,-0.5737253327005862,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.28474631764877295,0.8584716503493592
77,38,3.332489698452342,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_00,control,between,0.28474631764877295,-3.047743380803569
78,39,-0.5737253327005862,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.28474631764877295,0.8584716503493592
79,40,-0.5737253327005862,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.28474631764877295,0.8584716503493592
80,1,-1.1252167597099936,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,-2.3804694761996203,-1.2552527164896268
81,2,2.651734601554321,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_06,control,between,0.42008284874110957,-2.231651752813211
82,3,1.0780048676941896,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,-2.3804694761996203,-3.45847434389381
83,4,1.3927508144662157,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_02,control,between,0.42008284874110957,-0.9726679657251062
84,5,3.281226495098373,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_07,control,between,-2.3804694761996203,-5.661695971297993
85,6,2.022242708010268,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_05,control,between,-2.3804694761996203,-4.402712184209888
86,7,-0.8104708129379674,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,-2.3804694761996203,-1.569998663261653
87,8,-0.1809789193939151,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.6010617681350247
88,9,-0.1809789193939151,1,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,-2.3804694761996203,-2.199490556805705
89,10,-0.1809789193939151,1,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,0.6010617681350247
90,11,0.13376702737811105,1,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,0.42008284874110957,0.2863158213629985
91,12,0.13376702737811105,1,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.42008284874110957,0.2863158213629985
92,13,-0.8104708129379674,2,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,0.42008284874110957,1.2305536616790769
93,14,1.0780048676941896,2,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,0.42008284874110957,-0.65792201895308
