,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
31,32,-0.6113179559630786,6,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.8407326372068913
32,33,0.9494938464958458,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.22941468124381276,-0.7200791652520331
33,34,0.9494938464958458,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,0.22941468124381276,-0.7200791652520331
34,35,0.4292232456762043,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.22941468124381276,-0.19980856443239153
35,36,3.0305762497744118,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.22941468124381276,-2.801161568530599
36,37,-0.09104735514343716,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.22941468124381276,0.3204620363872499
37,38,0.4292232456762043,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.22941468124381276,-0.19980856443239153
38,39,-0.6113179559630786,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.22941468124381276,0.8407326372068913
39,40,0.4292232456762043,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.22941468124381276,-0.19980856443239153
40,1,0.46868508357477484,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.03131366642835004
41,2,-1.2356243112425875,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.4999987500031249,1.7356230612457124
42,3,-1.7225698526189768,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_05,control,between,-1.9999950000125002,-0.2774251473935234
43,4,-0.5052059991780037,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_04,control,between,0.4999987500031249,1.0052047491811287
44,5,-0.018260457801614425,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.5182592078047393
45,6,0.46868508357477484,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.03131366642835004
46,7,-0.26173322848980907,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.761731978492934
47,8,-0.7486787698661983,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.4999987500031249,1.2486775198693232
48,9,0.2252123128865802,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.4999987500031249,0.2747864371165447
49,10,-0.018260457801614425,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,-1.9999950000125002,-1.9817345422108859
50,11,-0.018260457801614425,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.5182592078047393
51,12,-0.26173322848980907,1,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.4999987500031249,0.761731978492934
52,13,1.1991033956393586,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,-1.9999950000125002,-3.199098395651859
53,14,-0.26173322848980907,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.4999987500031249,0.761731978492934
54,15,-0.26173322848980907,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,-1.9999950000125002,-1.7382617715226911
55,16,0.46868508357477484,2,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,0.03131366642835004
56,17,0.7121578542629694,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.4999987500031249,-0.21215910425984452
57,18,1.4425761663275534,3,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,-1.9999950000125002,-3.442571166340054
