iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	eventType
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161621802	29	weimaraner	M274,207c-34.8099,0 -76.35997,8.15791 -107,-12c-23.75715,-15.6297 -35.82315,-69.6877 -7,-85c7.88519,-4.18901 32.32734,-7.47686 40,-8c92.47277,-6.30496 73.01599,138.1936 6,165	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161627277	30	bullmastiff	M133,188c-35.03698,0 -29.72241,-7.55023 -50,-53c-1.90139,-4.26175 0,-9.33333 0,-14c0,-4 -3.57771,-10.21115 0,-12c23.01555,-11.50778 16.79054,43.05985 -18,53	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161633005	31	goldenretriever	M193,183c-6.61099,6.61099 -9.89281,7 -19,7c-8.51033,0 -18.27381,0.94476 -26,-4c-20.88465,-13.36618 -19.25584,-79.98583 2,-92c11.23107,-6.34799 23.35917,-6.77669 36,-8c54.7687,-5.3002 10.31998,72 -29,72	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161638381	32	pug	M73,281c-12.50771,0 -8,-30.61108 -8,-63c0,-16.7985 -7.02058,-154.17524 39,-135c22.43745,9.34894 4.2682,59.61686 -3,70c-20.00745,28.58207 -56.66226,58 -94,58	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161643770	33	goldenretriever	M168,137c-30.81476,0 -52.39903,-17.76922 -72,-41c-5.60514,-6.64313 -4.88262,-25.05639 -4,-33c0.08231,-0.7408 0.26912,-1.85382 1,-2c27.5023,-5.50046 41.15709,14.26628 34,42c-5.49543,21.29477 -22.70899,36.47266 -40,48	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161650053	34	doberman	M236,217c-43.32062,0 -77.32573,-6.2792 -112,-36c-5.71369,-4.89745 -27.01818,-27.98909 -12,-37c43.7797,-26.26782 25.23998,60.82865 21,79c-0.64553,2.76657 -3.78846,21 -8,21	1	0	11	29	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161656501	35	pug	M116,212c0,-44.94536 -6.17414,-95.91208 4,-140c4.12725,-17.88474 43.12613,-17.0888 55,-12c20.40278,8.74405 15.2412,42.95338 6,57c-14.24788,21.65678 -70.42502,61.38332 -98,43	1	0	12	31	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161661806	36	chihuahua	M238,129c-35.1873,0 -101.64454,6.62513 -100,-46c0.21963,-7.02824 -0.81843,-14.55788 2,-21c8.68374,-19.84854 52.16163,-24.69134 65,-9c21.69659,26.51806 13.3186,73.48228 -3,100	1	0	13	34	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161667536	37	bullmastiff	M189,204c-15.79231,0 -30.24519,-0.05937 -44,-9c-30.32807,-19.71324 -50,-45.63295 -50,-82c0,-10.85879 -2.77413,-12.52156 5,-19c12.83956,-10.69964 23.27413,-14.60569 41,-18c73.55561,-14.08512 31.13036,87 -1,87	1	0	14	37	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161673406	38	bloodhound	M173,208c-23.75375,0 -46.59743,-44.3137 -53,-60c-4.04858,-9.91901 -2,-21.33333 -3,-32c-0.81351,-8.67743 -4.59745,-31.01296 6,-36c58.99225,-27.76106 54.36241,112 -10,112	1	0	14	37	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161679758	39	weimaraner	M130,203c-28.0035,0 -25.08012,-88.95946 -21,-108c2.85886,-13.34133 31.18714,-16.46277 40,-10c5.66477,4.15416 10.78982,26.56378 11,28c6.71528,45.88774 -33.75636,93 -80,93	1	0	14	37	stroke
pilot2_bonusmeter	1602-f09f5dc8-0f6a-46ab-9e09-ab12c700e9b5	1531161686129	40	basset	M195,192c-36.39583,0 -73,-17.53407 -73,-58c0,-21.66992 0.1762,-26.1762 16,-42c10.48037,-10.48037 51.85893,-48.61756 73,-31c34.95586,29.12988 -19.58196,133.69775 -62,139	1	0	14	37	stroke
