,trialNum,drawDuration,repetition,gameID,condition,target,generalization,outcome,bis_score
170,15,-0.06424296741531439,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.06424296741531439
171,16,-1.6040876914853504,2,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,1.6040876914853504
172,17,-0.8016533839440678,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.8016533839440678
173,18,-0.07673681344293372,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.07673681344293372
174,19,-0.9779844233367107,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.9779844233367107
175,20,-1.3456958214029564,3,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,1.3456958214029564
176,21,-0.7823450328385292,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.7823450328385292
177,22,-0.28231444131890876,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.28231444131890876
178,23,-0.5174223133137862,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.5174223133137862
179,24,-0.5236692363275958,4,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.5236692363275958
180,25,-0.23546292490479057,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.23546292490479057
181,26,-0.6281617442333055,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.6281617442333055
182,27,-0.9001830306609923,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.9001830306609923
183,28,-0.028181738457578077,5,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.028181738457578077
184,29,-0.7105063659551114,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.7105063659551114
185,30,-0.233191513476474,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,0.233191513476474
186,31,-0.7076668308767461,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.7076668308767461
187,32,-0.013132419176617824,6,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,0.013132419176617824
188,35,-1.4714844362069512,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_07,within,0.0,1.4714844362069512
189,38,0.09050817404698842,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_05,within,0.0,-0.09050817404698842
190,39,-0.15226665929385075,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_00,within,0.0,0.15226665929385075
191,40,-0.4254236514356957,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,repeated,dining_06,within,0.0,0.4254236514356957
192,1,0.19244520869935722,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_02,within,0.0,-0.19244520869935722
193,3,2.365775694249516,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_03,within,0.0,-2.365775694249516
194,4,1.8526831330522275,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_01,within,0.0,-1.8526831330522275
195,7,0.835869072160789,0,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_04,within,0.0,-0.835869072160789
196,33,-0.12387185009613721,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_04,within,0.0,0.12387185009613721
197,34,-1.3476834417992183,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_02,within,0.0,1.3476834417992183
198,36,0.18903782076391282,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_01,within,0.0,-0.18903782076391282
199,37,0.45026909052818714,7,5616-7114c020-0e81-482c-952b-b26fc66076a0,control,dining_03,within,0.0,-0.45026909052818714
200,2,1.8269451767490783,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,-1.8269451767490783
201,3,0.5212846224190848,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,-0.5212846224190848
202,6,1.6655382529620464,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,-1.052267283529313,-2.717805536491359
203,8,-0.3929320124139422,0,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.3929320124139422
204,9,-0.34866163647337595,1,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.34866163647337595
205,10,-0.37386824944086805,1,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.37386824944086805
206,11,1.6083466610313804,1,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,-1.6083466610313804
207,12,0.12200321092687241,1,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,-0.12200321092687241
208,13,-0.6661802580648795,2,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.6661802580648795
209,14,0.9220487699091605,2,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,-0.9220487699091605
210,15,-0.22178125063550153,2,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.22178125063550153
211,16,-0.03432019087293445,2,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,0.03432019087293445
212,17,-0.796449826900595,3,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.796449826900595
213,18,0.10992941694100093,3,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,-0.10992941694100093
214,19,-0.4124194863891306,3,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.4124194863891306
215,20,-1.0421614025857628,3,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,1.0421614025857628
216,21,-0.7013425140229302,4,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,0.7013425140229302
217,22,-0.6420327710969511,4,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.6420327710969511
218,23,-1.1461652324544225,4,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,1.1461652324544225
219,24,-0.43699068435917326,4,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.43699068435917326
220,25,-1.2389425388357171,5,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,1.2389425388357171
221,26,-0.6833377760456052,5,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_04,within,0.0,0.6833377760456052
222,27,-0.5149405802599268,5,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_06,within,0.0,0.5149405802599268
223,28,-0.5655656111940609,5,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.5655656111940609
224,29,-0.70621433201482,6,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_07,within,0.0,0.70621433201482
225,30,-1.065038009056885,6,9817-6f2a66db-fc24-482d-aa20-1980ad6f524e,repeated,dining_02,within,0.0,1.065038009056885
