,trialNum,numStrokes,repetition,gameID,condition,target,generalization,outcome,bis_score
58,23,-0.8904620562700124,4,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,0.8904620562700124
59,24,-0.8904620562700124,4,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,0.8904620562700124
60,25,-0.24285328807363973,5,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,0.24285328807363973
61,26,-0.8904620562700124,5,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,0.8904620562700124
62,27,0.4047554801227329,5,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,-0.4047554801227329
63,28,0.4047554801227329,5,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,-0.4047554801227329
64,29,0.4047554801227329,6,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,-0.4047554801227329
65,30,-0.24285328807363973,6,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,0.24285328807363973
66,31,-1.538070824466385,6,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,1.538070824466385
67,32,-1.538070824466385,6,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,1.538070824466385
68,33,-0.24285328807363973,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_03,within,0.0,0.24285328807363973
69,35,-0.8904620562700124,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_05,within,0.0,0.8904620562700124
70,37,0.4047554801227329,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_07,within,0.0,-0.4047554801227329
71,40,-0.8904620562700124,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,repeated,waiting_00,within,0.0,0.8904620562700124
72,4,2.347581784711851,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_06,within,0.0,-2.347581784711851
73,6,1.6999730165154783,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_01,within,0.0,-1.6999730165154783
74,7,1.0523642483191056,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_04,within,-1.066382335949456,-2.1187465842685613
75,8,1.0523642483191056,0,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_02,within,0.0,-1.0523642483191056
76,34,1.6999730165154783,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_04,within,-1.066382335949456,-2.7663553524649345
77,36,0.4047554801227329,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_01,within,0.0,-0.4047554801227329
78,38,-0.24285328807363973,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_02,within,0.0,0.24285328807363973
79,39,-0.24285328807363973,7,3558-8fa206a2-9b8c-4d67-a4ab-0832dc0d0f25,control,waiting_06,within,0.0,0.24285328807363973
80,2,0.7633225336137933,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,-0.7633225336137933
81,4,0.7633225336137933,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,-0.7633225336137933
82,6,1.2123357886807307,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,-1.2123357886807307
83,7,-0.5837172315870183,0,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
84,9,1.661349043747668,1,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,-1.661349043747668
85,10,-0.5837172315870183,1,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,0.5837172315870183
86,11,-0.1347039765200811,1,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.1347039765200811
87,12,0.7633225336137933,1,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,-0.7633225336137933
88,13,0.31430927854685614,2,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,-0.31430927854685614
89,14,1.2123357886807307,2,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,-1.2123357886807307
90,15,0.7633225336137933,2,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,-0.7633225336137933
91,16,-1.4817437417208927,2,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
92,17,-0.5837172315870183,3,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_06,within,0.0,0.5837172315870183
93,18,-0.1347039765200811,3,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_07,within,0.0,0.1347039765200811
94,19,-0.5837172315870183,3,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_00,within,0.0,0.5837172315870183
95,20,-1.4817437417208927,3,6964-d6de9966-f3dd-45df-8d24-d5bfd5d46eb8,repeated,waiting_03,within,0.0,1.4817437417208927
